eyes 眼睛视力
well-to-do 富裕的；富有的
well-trained 训练有素的
well-worn 用旧了的；陈腐的
what'll what will 的缩写，“什么将”
wheel 轮子；旋转
whereabouts 下落；行踪
whereby 凭借；通过…… 方式
whimper 呜咽；啜泣
whims 奇想；怪念头
whined 发牢骚；哭诉
whipped 鞭打；搅拌（过去式）
whipper-in 猎犬指挥者
whippersnapper 傲慢的年轻人
whispers 低语；私语（复数）
whist 安静；无声
whistled 吹口哨（过去式）
wholesome 有益健康的；健康的
wholl who will 的缩写，“谁将”
whos who is 的缩写，“谁是”
wickednesses 邪恶；恶行（复数）
widely 广泛地
widowhood 守寡；寡妇的身份
widows 寡妇（复数）
wiggery 假发；装饰品
wigs 假发（复数）
willow 柳树
winced 退缩；畏缩（过去式）
windbag 夸夸其谈的人
winding 蜿蜒的；弯曲的
winks 眨眼；使眼色（复数）
wins 获胜；赢得（第三人称单数形式）
wisest 最明智的
wished-for 渴望的；期望的
withal 此外；而且
withdrawal 撤退；收回
withdrew 撤退；收回（过去式）
withheld 拒绝给予；保留（过去式）
witnesses 目击；见证（复数）
wizen-cheeked 脸颊干瘪的
wizened 干瘪的；衰老的
woefully 悲伤地；不幸地
womanlike 女人般的
wondrously 惊人地；奇妙地
wordswhen 当…… 的时候的话语
workers 工人（复数）
workings 活动；运行；操作方法（复数）
workmen 工人（复数）
worn-out 破旧的；疲惫不堪的
worshipping 崇拜；敬奉（现在分词）
worthiest 最有价值的；最值得尊敬的
wounds 伤口；创伤（复数）
wrack 破坏；遇难
wracked 使痛苦；使遭受破坏（过去式）
wrangle 争吵；争论
wrecked 失事的；毁坏的
wrench 扳手；猛扭
wring 拧；绞
writes 写；写作（第三人称单数形式）
writings 作品；著作（复数）
wrongfully 不公正地；错误地
wrongheaded 执迷不悟的；固执错误的
wrongs 错误；不公正（复数）
wroth 愤怒的；狂暴的
yacht 游艇
yawning 打呵欠；裂开（现在分词）
yearn 渴望；向往
yellow-visaged 面色发黄的
yeomans 自耕农；自由民
yer your 的口语形式，“你的”
yesterdays 昨天；往昔（复数）
yoke 轭；束缚
youthful 年轻的；有青春活力的
zest 热情；风味。
towns 城镇
toys 玩具
traces 痕迹
trains 火车
travelled 旅行
triumphantly 胜利地
triumphed 胜利
truest 最真实
tumultuous 动荡的
tutor 家教
twitted 嘲笑
type 类型
umbrella 雨伞
uncles 叔叔
uncommon 不寻常
understands 理解
undertaken 承担
unexpected 意外
unfair 不公
unfrequently 不常
unlikely 不太可能
unmanly 不男子气
unnaturally 不自然
unsatisfactory 不满意
uphill 上坡
upper 上面的
upshot 结果
vanished 消失
verdure 绿意
village 村庄
visiting 拜访
vital 重要的
waking 醒来
warning 警告
waste 浪费
weaknesses 弱点
weather 天气
weep 哭泣
weighed 称重
weve 我们有
whenever 每当
wig 假发
wiped 擦拭
womanhood 女性
wonderfully 精彩地
wondering 想知道
writs 令状
Abbey 修道院
Acre 英亩
Affairs 事务
Afterwards 后来
Alison 艾丽森
Allow 允许
Almost 几乎
Angry 生气
Anything 任何事
Athenaeum 学术馆
AttorneyGeneral 律政司
Austrian 奥地利的
BRENTFORD 布伦特福德
Bath 浴场
Behind 背后
Birmingham 伯明翰
Bishop 主教
Blake 布雷克
Blane 布莱恩
Blink 眨眼
Braes 丘陵
Britain 英国
Brock 布罗克
Broderick 布罗德里克
Bromwich 布伦威奇
Brook 小溪
Burke 伯克
Call 呼叫
Canadas 加拿大
Cannings 坎宁斯
Cantrips 小把戏
Carey 凯瑞
Carlton 卡尔顿
Catholics 天主教徒
Chambers 房间
Chancellors 大臣
Chateau 城堡
Children 孩子们
Claddagh 克拉达
Clause 条款
Conachar 康纳查
Connaught 康诺特
Cork 软木
Corpus 机构
Cottesmore 科特斯莫尔
Count 计数
Covent 乔文特
Crichton 克赖顿
Cross 交叉
DUKE 公爵
Damn 该死
Darby 达比
Dick 迪克
Doubtless 毫无疑问
Dresden 德累斯顿
Dubby 达比
Each 每个
Enough 足够
Eton 伊顿
Eve 黄昏
Ever 永远
Explain 解释
Fiddlestick 琐事
Flanders 法兰德斯
Frank 弗兰克
GOESLER 哥斯勒
Gamaliels 加马利尔
Garden 花园
Garter 吊袜带
Gentlemen 绅士们
Germany 德国
Giless 吉尔斯
Given 给定
Greek 希腊的
Greeswing 格雷斯温
Gregory 格雷戈里
Gregory 格雷戈里
Habeas 人身保护令
Halloa 你好
Hard 坚硬
Headache 头痛
Help 帮助
Herr 先生
Highness 高ness
Hill 山丘
Horse 马
Indian 印度的
Inns 酒店
Jane 简
Joan 乔安
Jove 朱庇特
Keep 保持
Kilfenora 基尔芬诺拉
Killaloeians 基拉洛居民
Kingstown 金斯敦
L 金
Lapoule 拉普尔
Later 后来
Latterly 近来
Leicestershire 莱斯特郡
Liberalism 自由主义
Long 长
Longroyston 隆罗伊斯顿
Lucifer 路西法
MAX 最大
Manchester 曼彻斯特
Margin 边缘
Mariana 玛丽安娜
Maybe 也许
Means 方法
Merrilies 梅里利斯
Mill 磨坊
Mockrath 模克拉斯
Moll 莫尔
Molonys 莫洛尼
Monument 纪念碑
More 更多
Mottram 莫特拉姆
Mount 山
Mountains 山脉
Munster 芒斯特
Must 必须
Nature 自然
North 北方
Ought 应该
Palmerston 帕尔默斯顿
Patronage 赞助
Pay 支付
Persse 佩尔斯
Perthshire 佩斯郡
Peter 彼得
Peterborough 彼得堡
Philistine 非利士人
Phin 菲恩
Pickwell 皮克韦尔
Pitt 皮特
Political 政治的
Pope 教皇
Pouncefoots 潘斯福特
Presently 目前
Pretty 漂亮
Primrose 樱草
Puck 帕克
Railway 铁路
Really 真正
Red 红色
Redistribution 再分配
Regents 摄政
Resign 辞职
Respecting 关于
Romford 罗姆福德
Room 房间
Royal 皇家
Sabbath 安息日
Sancho 桑丘
September 九月
Seven 七
Seventeen 十七
Showing 显示
Sit 坐
Soho 索霍
Someone 某人
Somerby 索默比
Standishes 斯坦迪什
Surely 当然
Switzerland 瑞士
Talk 说
Terriers 泰瑞尔犬
Thereupon 随后
Theyll 他们会
Theyre 他们是
Theyve 他们有
Thistle 牛蒡
Till 直到
Tipperary 提珀里
Tories 保守党
Touching 触及
Troubles 麻烦
Try 尝试
Under 在……下
Undoubtedly 毋庸置疑
Upper 上层
Utopia 乌托邦
Vellums 羊皮纸
Victoria 维多利亚
Viscount 子爵
Ways 方法
Wednesdays 星期三
Whereupon 随后
White 白色
Whitehall 白厅
Without 没有
Wont 不会
Wouldnt 不会
Write 写
Yorks 约克郡
Young 年轻
Yquem 依克
Zoo 动物园
abolition 废除
abominable 令人厌恶
absenting 缺席
abused 滥用
acceptable 可接受
accommodate 适应
accorded 授予
accordingly 因此
actors 演员
acts 行动
actuated 驱动
adding 添加
additional 附加的
adequate 足够的
adhesion 粘附
adieu 再见
adjournment 休会
administered 管理
admission 允许
admittance 准入
adventures 冒险
adventuress 女冒险家
adversaries 对手
advocated 倡导
affect 影响
affectation 做作
affectionately 深情地
afternoons 下午
aged 老化
aid 援助
ailment 疾病
ails 痛苦
akimbo 双手叉腰
alert 警觉
alike 相似
allegiance 忠诚
allusions 典故
aloft 在高处
aloud 大声
alter 改变
amazement 惊讶
amazingly 令人惊讶
ambassador 大使
amenable 顺从的
amenities 便利设施
ample 足够的
angel 天使
animation 动画
announcements 公告
annoyance 恼怒
annual 每年的
annum 年
antagonism 对立
antagonist 对手
anticipation 预期
apparel 服装
appeal 吸引
appearing 出现
appertaining 相关的
applause 鼓掌
applications 申请
appointed 任命
appointments 约会
apron 围裙
aptitude 天赋
arbitrary 任意的
ardour 热情
arena 圆形竞技场
arise 出现
arrive 到达
artisans 工匠
artist 艺术家
arts 艺术
ashes 灰烬
asis 如此
aspect 方面
aspirant 有志者
assertions 断言
associate 关联
association 协会
astounded 震惊
asylum 庇护所
attachment 附件
attending 参加
auburn 赤褐色
avenged 复仇
averse 反感
avoiding 避免
awake 醒来
bachelor 学士
backed 支持
backwards 向后
badger 獾
balance 平衡
balderdash 胡说
banish 驱逐
banishment 放逐
banks 银行
bare 光秃
barren 贫瘠
batch 一批
bathchair 浴椅
bauble 球饰
bearing 具有
beavers 海狸
bedad 我的天
beds 床
bedside 床边
bee 蜜蜂
beginner 初学者
behave 举止
behoved 适合
behoves 适合
beings 生物
belongings 财物
beloved 心爱
beneficent 慈善的
bestow 赠予
betake 去
bets 赌注
betters 改善
bewildered 困惑
bids 出价
billing 开账单
biting 咬
blackbrowed 黑眉
blamed 责备
blaming 责怪
blandest 最平淡
blazoned 纹章
blessing 祝福
blessings 祝福
bliss 幸福
blowing 吹
blows 打击
blunder 错误
boards 板子
boasting 吹牛
boats 船
bodies 身体
boldly 大胆
bondage 奴役
bonnet 帽子
boon 恩惠
borders 边界
bower 亭子
bows 鞠躬
box 盒子
brave 勇敢
breasts 胸部
brethren 兄弟
brewing 酿造
bridal 婚礼的
brighter 更明亮
broader 更广泛
brokenhearted 伤心
brooch 胸针
brooks 小溪
brotherhood 兄弟会
brushing 刷
buckled 扣紧
bugbear 令人恐惧的事物
build 建造
buildings 建筑物
buried 埋藏
burned 烧毁
burst 爆裂
butler 管家
buys 购买
buzzing 嗡嗡声
bygones 过去的事情
cabined 关闭
cabinets 橱柜
cage 笼子
cake 蛋糕
cakes 蛋糕
calculate 计算
calculations 计算
callers 来电者
calmly 冷静地
candle 蜡烛
canvassed 审视
careers 职业
cases 案件
casting 投掷
catastrophe 灾难
caused 导致
causes 原因
cavalier 骑士
ceasing 停止
century 世纪
chain 链
chalk 粉笔
champion 冠军
chary 小心
cheaper 更便宜
cheese 奶酪
childish 幼稚
chivalric 骑士的
chivalry 骑士精神
choicest 最优质
choosing 选择
culling 剔除
cup 杯子
cupboard 橱柜
curious 好奇的
curl 卷曲
current 当前的
daggers 匕首
damp 潮湿的
dancers 舞者
dancing 舞蹈
dangers 危险
dangling 悬挂的
dawn 黎明
deadly 致命的
debated 争论的
debaters 辩论者
debtor 债务人
decked 装饰的
declining 下降的
deeds 行为
defalcation 侵占
defaulters 拖欠者
defended 防御的
defending 辩护
defined 确定的
degradation 降级
degraded 退化的
deliberation 深思熟虑
delicious 美味的
delightfully 令人愉快地
demagogue 煽动者
demagogues 煽动者（复数）
democracy 民主
demonstrations 示威
departed 逝去的
depended 依赖的
deprive 剥夺
deserves 应得
destination 目的地
details 细节
detain 拘留
dictation 听写
dimness 昏暗
dimple 酒窝
dines 用餐
dinnerparties 晚宴
disagree 不同意
disappear 消失
discomfited 使困惑
discomfiture 困惑
discontented 不满的
discouraged 灰心的
discredit 失去信誉
discreditable 不光彩的
disfranchise 剥夺选举权
dishes 菜肴
disobeying 违抗
disparaging 贬低的
disposition 性情
dispute 争论
disregard 忽视
dissatisfaction 不满
dissented 不同意
distinct 明显的
distinction 区别
distress 痛苦
distressed 痛苦的
districts 区域
doctrines 教义
dogs 狗
domestic 国内的
domineer 专横
dominion 统治
donkey 驴
doorway 门口
doting 溺爱的
doubled 加倍的
doubledangerous 双重危险的
doubts 怀疑
drag 拖动
dreadfully 可怕地
dressinggown 睡袍
dried 干燥的
drifted 漂流的
drinks 饮料
drone 嗡嗡声
drops 水滴
drove 驾驶
drunkard 酒鬼
drunkards 酒鬼（复数）
duchesses 公爵夫人
duck 鸭子
duelling 决斗
dug 挖掘
dukedom 公爵的地位
duplicity 二重性
dwelt 居住
eagerly 渴望地
earl 伯爵
earthquake 地震
east 东
eavy 负担
economy 经济
efficacious 有效的
eggs 鸡蛋
ejaculated 喷射
elapsed 经过
elders 长者
eldest 最年长的
elector 选民
element 元素
emergency 紧急情况
emigrate 移民
employ 雇佣
emptied 清空
enclosure 附件
endorsed 认可的
endowed 赋予
ends 结束
endurance 耐力
enduring 持久的
enemys 敌人（复数）
energetically 精力充沛地
enfranchisement 选举权
enhanced 增强的
ensconced 隐藏的
enterprise 企业
entertaining 娱乐
entertainment 娱乐活动
entrusted 委托
envious 嫉妒的
episode 插曲
equality 平等
equalled 等于
erroneous 错误的
essentially 本质上
establish 建立
estranged 疏远的
eulogist 颂扬者
everyone 每个人
evident 明显的
exalted 崇高的
examined 检查过的
exceeded 超过
excel 出色
excepting 除了
excess 过量
exchange 交换
execution 执行
exigencies 紧急情况（复数）
exit 退出
expectation 期望
expelled 驱逐
expenditure 支出
expenses 开支
explanation 解释
expressive 表达的
exquisite 精美的
extensive 广泛的
external 外部的
extract 提取
faction 派系
faithful 忠诚的
faltered 颤抖的
familiarity 熟悉
faraway 遥远的
fashionable 时尚的
fastened 系紧的
fat 胖的
features 特征
fertility 生育能力
fervour 热情
fetch 取来
fetching 迷人的
fickle 易变的
fiction 虚构
fierce 凶猛的
fieryred 火红的
figures 数字
filling 填充
finally 最终
finer 更细的
finger 手指
finishing 完成
fired 被解雇
fishing 钓鱼
fists 拳头
fiveandtwenty 二十五
flashed 闪光
fling 投掷
flirt 调情
flirting 调情（进行时）
floor 地板
flown 飞行
flung 投掷
flutter 颤动
fluttering 颤动（进行时）
folly 愚蠢
fondly 深情地
foolhardy 鲁莽的
footmen 随员
forbade 禁止
forbid 禁止
forebodings 不祥的预感
forgetting 忘记
forthcoming 即将到来的
founded 创立
fourteen 十四
frame 框架
frankly 坦率地
fraud 欺诈
freed 解放
freethinking 自由思想
frequent 频繁的
frequented 经常光顾的
friendships 友谊
frightfully 可怕地
frowning 皱眉
fruits 水果
funds 资金
furnished 配备的
furthest 最远的
gains 收益
gambling 赌博
gammon 诱惑
garment 衣服
gate 大门
gateway 入口
gazed 凝视
gem 宝石
generalities 一般性
genial 友好的
genleman 绅士
gentlemens 绅士（复数）
genuine 真实的
gesture 手势
gestures 手势（复数）
gist 要点
glaciers 冰川
gladly 愉快地
glasses 眼镜
glided 滑行
gloom 忧郁
glove 手套
glowed 发光
glowing 发光的
golden 黄金的
goodness 善良
gorse 荆棘
gossip 八卦
governments 政府
governor 州长
governors 州长（复数）
grandees 贵族
grandmother 祖母
grievance 不满
grievances 不满（复数）
griffin 狮鹫
groaned 呻吟
grooves 沟槽
gross 总体的
grownup 成年人
grunt 嗥叫
guarantee 保证
guardian 监护人
guarding 保护
guessed 猜测
guide 导游
guinea 基尼
guns 枪
ha 哈
halfbarbarous 半野蛮的
handkerchief 手帕
handle 处理
handsomest 最英俊的
handwriting 手写
harassing 骚扰
hardest 最难的
hark 听
hateful 令人厌恶的
haunt 萦绕
hay 干草
heading 标题
headings 标题（复数）
heap 一堆
heaps 大量
heavily 沉重地
heel 脚后跟
heiresses 女继承人
helping 帮助
helpless 无助的
hence 因此
henceforth 从今往后
heretofore 迄今为止
hermits 隐士
highminded 高尚的
highnesses 高贵的
highprincipled 高原则的
hinder 阻碍
hints 暗示
hire 雇用
hoarsely 沙哑地
hobble 蹒跚
holds 握住
hole 孔
holes 孔（复数）
holidays 假期
homes 家
honester 更诚实的
hopelessly 绝望地
horseman 骑马者
hostility 敌意
hotel 酒店
hotter 更热的
hound 狗
houri 仙女
housekeeper 女管家
hovering 悬停
humdrum 单调的
humoured 有幽默感的
hurting 受伤
hypocrisy 伪善
identical 相同的
identity 身份
twit 嘲弄、愚弄
twitched 抽动、扭动
twopence 两便士
typhus 伤寒
ugliness 丑陋
umbly 谦卑地
unCabinet 无内阁的
unEnglish 不符合英语习惯的
unaccustomed 不习惯的
unaffected 不受影响的、自然的
unaltered 未改变的
unanswered 无人回应的
unassuming 谦逊的
unavoidable 不可避免的
unceasing 不断的
uncertified 未获得认证的
unchanging 不变的
uncharitable 不宽容的
uncomfortably 不舒服地
uncommenced 未开始的
uncomplimentary 不赞美的
unconciliatory 不调和的
unconnected 无关联的
unconscious 无意识的
undeceived 未被欺骗的
undefined 未定义的
undergo 经历
undergone 经历过
undersecretaryship 副秘书职务
understrappers 下级助手
undertaking 事业、承诺
undertook 承担
undeserved 不应得的
undignified 不庄重的
undistinguished 无特别之处的
undo 撤销
undoubted 无疑的
undred 未确认
undutiful 不尽责任的
uneasiness 不安
unencumbered 无负担的
unendurable 不可忍受的
unequal 不平等的
unequalled 无与伦比的
unexpectedly 意外地
unfettered 不受限制的
unfitness 不适合
unfitting 不合适的
unflinching 坚定不移的
ungainly 笨拙的
ungenerous 小气的
ungenial 不友好的
ungovernable 无法控制的
ungracious 不礼貌的
unhandsome 不帅气的
unhappily 不幸地
unimpressive 无印象的
unintentionally 无意地
uninteresting 无趣的
uninterrupted 不间断的
unison 一致
united 团结的
units 单位
unloosed 松开的
unloosing 松开（进行时）
unloved 不被爱的
unloving 不爱人的
unluckily 不幸地
unmade 未制成的
unmeasured 未量度的
unmindful 不在意的
unmixed 未混合的
unmoved 未被感动的
unnatural 不自然的
unnoticed 未被注意的
unobserved 未被观察的
unopened 未打开的
unpaid 未支付的
unpalatable 难以接受的
unparliamentary 不符合议会规定的
unpleasantsaid 不愉快地说
unpoetical 不具诗意的
unprecedentedly 前所未有地
unprofitable 无利可图的
unquestioned 未被质疑的
unquiet 不安静的
unravel 解开
unready 未准备好的
unremitting 不停的
unrequited 无回报的
unrivalled 无与伦比的
uns 未
unsavoury 不愉快的
unscorched 未被烧焦的
unsound 不合理的
unspeaking 无言的
unstable 不稳定的
unstained 未染色的
unsuitable 不适合的
unsuited 不合适的
unsympathising 不表示同情的
unto 到、向
untouched 未触碰的
untried 未经过试验的
untrustworthy 不可信的
untruth 不真实的
unwell 不健康的
unwillingly 不情愿地
unwonted 不寻常的
unworthiness 不配的状态
unwritten 未写的
upastree 在树上
upholsterer 装饰工
upsetting 令人不安的
upstart 自命不凡的人
usage 使用
usefulness 有用性
uses 用途
ushered 引导
usurers 高利贷者
utilise 利用
uttermost 极限的
vacation 假期
vacillating 犹豫不决的
vagrant 流浪者
valet 专车司机
valour 勇气
valuables 贵重物品
valueless 无价值的
vanish 消失
vanishing 消失（进行时）
vapid 乏味的
variance 差异
varied 多样的
varies 变化
variety 多样性
vary 变化
varying 变化（进行时）
vast 广阔的
vastness 浩瀚
vegetables 蔬菜
vehement 激烈的
vehemently 激烈地
vehicle 车辆
vehicles 车辆（复数）
vent 通风口
ventures 冒险
venturing 冒险（进行时）
verandah 走廊
verbatim 逐字地
verbiage 冗长的表达
verbosity 冗长
verification 验证
verified 已验证的
verify 验证
verily 确实
veritable 真实的
verse 诗句
veteran 老兵
vexation 烦恼
vexing 烦恼的
via 通过
vice 恶习
vicinity 邻近
vicious 恶性的
victor 胜利者
victories 胜利（复数）
victorious 胜利的
vindication 辩护
vine 藤
virgin 处女
virtuous 品德高尚的
viscounts 子爵（复数）
vision 视觉
vista 远景
vitality 活力
vitally 至关重要地
vivacity 活泼
volcanoes 火山（复数）
volume 体积、音量
volumes 卷、体积（复数）
voluntarily 自愿地
votaries 信徒（复数）
voters 选民（复数）
vouchsafe 允诺
vows 誓言（复数）
vulgar 粗俗的
vulgarity 粗俗
wager 赌注
waived 放弃
wale 皱纹
wandering 徘徊
wards 部门
warily 小心翼翼地
warmed 加热的
warmest 最温暖的
business 商业 2
glad 高兴
late 晚的
members 成员
sort 分类
Ireland 爱尔兰
Loughshane 洛克
early 早期的
fact 事实
Omnium 综合项目
Slide 滑
close 接近
four 四 14
happy 快乐的
women 女性
aware 意识到
nor 也不
round 圆
sit 坐
Cantrip 小戏法
Jones 琼斯（姓氏
Killaloe 基
aunt 姨妈
intended 预期的
stood 站
try 尝
high 高的
power 力量
walked 走路
Ill 生病的
girl 女孩
married 结婚
necessary 必要的
resolved 决心 35
towards 朝向
voice 声音
yes 是的
Flood 洪水
afraid 害
deal 交易
return 返回
understood 理解
Sunday 星期天
continued 继续
debate 辩论
doctor 医生
duel 决斗
reason 理由
trouble 麻烦
turned 转向
under 在……之下
cant 不会
read 阅读
second 第二
themselves 他们自己
